id,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,4.0,3.1179228270557884,0,1,0.0,0.0,0.5000000074505806,6.123233995736766e-17,0.0,0.0,1.0,1,0.0,0.0,1.0,6.123233995736766e-17,0.13052619222005157,7.832796718715562e-18,0.9914448613738105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,2.0,2.992529066172597,1,1,0.4191945144032948,0.6852195003967595,0.20445224973151743,0.0329497866332531,-0.6777034401893616,-0.10323028266429901,0.7273072600364685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,2.0,3.392046572141176,1,1,0.8946066635038473,0.08504421136977791,0.03905478323288236,0.09636235237121582,-0.7399250268936157,-0.09134190529584885,0.6594557762145996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,2.0,2.992529066172597,2,1,0.4191945144032948,0.6852195003967595,0.20445224973151743,0.0329497866332531,-0.6777034401893616,-0.10323028266429901,0.7273072600364685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,2.0,3.2743428413752493,2,1,0.8946066635038473,0.08504421136977791,0.042885063564576525,0.03243966028094292,-0.7451879978179932,-0.09047998487949371,0.6598908305168152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,2.0,2.992529066172597,3,1,0.4191945144032948,0.6852195003967595,0.20445224973151743,0.0329497866332531,-0.6777034401893616,-0.10323028266429901,0.7273072600364685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,2.0,3.0280869808274704,3,1,0.43240602009883466,0.6852195003967595,0.20445224973151743,0.033998820930719376,-0.71037757396698,-0.09502428025007248,0.6965473294258118,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Design 7,2.0,2.992529066172597,4,1,0.4191945144032948,0.6852195003967595,0.20445224973151743,0.0329497866332531,-0.6777034401893616,-0.10323028266429901,0.7273072600364685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Design 8,2.0,3.0027204853724774,4,1,0.4191945144032948,0.6852195003967595,0.20445224973151743,0.03375665843486786,-0.6942517161369324,-0.09746211022138596,0.7123034000396729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Design 9,2.0,2.992529066172597,5,1,0.4191945144032948,0.6852195003967595,0.20445224973151743,0.0329497866332531,-0.6777034401893616,-0.10323028266429901,0.7273072600364685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
