id,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz
0,Prior Design,2.0,3.6292569559071506,0,1,0.0,0.0,0.5000000074505806,6.123233995736766e-17,0.0,0.0,1.0
1,Design 1,2.0,3.5321272559097716,1,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.35089370608329773,-0.4125154912471771,0.820076584815979,0.184875950217247
2,Design 2,inf,inf,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,2.0,3.5321272559097716,2,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.35089370608329773,-0.4125154912471771,0.820076584815979,0.184875950217247
4,Design 4,2.0,3.586921122436417,2,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.34256741404533386,-0.44337141513824463,0.8282904028892517,0.00209479290060699
5,Design 5,2.0,3.6678869884456775,2,1,0.34556072704304774,0.39676747423066994,0.45393666310388137,-0.010563921183347702,-0.4405016005039215,0.8757126927375793,0.19741840660572052
6,Design 6,inf,inf,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Design 7,2.0,3.5321272559097716,3,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.35089370608329773,-0.4125154912471771,0.820076584815979,0.184875950217247
8,Design 8,2.0,3.5740961711355643,3,1,0.33806458244393656,0.39676747423066994,0.45393666310388137,-0.3383716642856598,-0.43415969610214233,0.811679482460022,0.19541291892528534
9,Design 9,2.0,3.586921122436417,3,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.34256741404533386,-0.44337141513824463,0.8282904028892517,0.00209479290060699
10,Design 10,2.0,3.626253716649067,3,1,0.34556072704304774,0.40888626609367373,0.538816734003357,-0.01988068036735058,-0.42005103826522827,0.8877187371253967,0.18739627301692963
11,Design 11,2.0,3.5321272559097716,4,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.35089370608329773,-0.4125154912471771,0.820076584815979,0.184875950217247
12,Design 12,2.0,3.5740961711355643,4,1,0.33806458244393656,0.39676747423066994,0.45393666310388137,-0.3383716642856598,-0.43415969610214233,0.811679482460022,0.19541291892528534
13,Design 13,2.0,3.586921122436417,4,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.34256741404533386,-0.44337141513824463,0.8282904028892517,0.00209479290060699
14,Design 14,2.0,3.6214478368618344,4,1,0.33806458244393656,0.39676747423066994,0.45393666310388137,-0.3449734151363373,-0.4426303207874298,0.8275156617164612,0.01701539382338524
15,Design 15,2.0,3.5253166956885886,5,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3527345061302185,-0.4345540404319763,0.8037596344947815,0.20177115499973297
16,Design 16,2.0,3.5321272559097716,5,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.35089370608329773,-0.4125154912471771,0.820076584815979,0.184875950217247
17,Design 17,2.0,3.558316373317209,5,1,0.24135001153985797,0.39676747423066994,0.45393666310388137,-0.34146207571029663,-0.418173611164093,0.8183199763298035,0.19719766080379486
18,Design 18,2.0,3.5740961711355643,5,1,0.33806458244393656,0.39676747423066994,0.45393666310388137,-0.3383716642856598,-0.43415969610214233,0.811679482460022,0.19541291892528534
19,Design 19,2.0,3.5253166956885886,6,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3527345061302185,-0.4345540404319763,0.8037596344947815,0.20177115499973297
20,Design 20,2.0,3.5268340499167943,6,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3503493666648865,-0.4314665198326111,0.8066141605377197,0.20116056501865387
21,Design 21,2.0,3.5321272559097716,6,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.35089370608329773,-0.4125154912471771,0.820076584815979,0.184875950217247
22,Design 22,2.0,3.558316373317209,6,1,0.24135001153985797,0.39676747423066994,0.45393666310388137,-0.34146207571029663,-0.418173611164093,0.8183199763298035,0.19719766080379486
23,Design 23,2.0,3.5253166956885886,7,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3527345061302185,-0.4345540404319763,0.8037596344947815,0.20177115499973297
24,Design 24,2.0,3.5268340499167943,7,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3503493666648865,-0.4314665198326111,0.8066141605377197,0.20116056501865387
25,Design 25,2.0,3.5291049996384003,7,1,0.3382599854570275,0.39676747423066994,0.538816734003357,-0.34833529591560364,-0.4291372299194336,0.8096524477005005,0.19739970564842224
26,Design 26,2.0,3.5321272559097716,7,1,0.34556072704304774,0.39676747423066994,0.538816734003357,-0.35089370608329773,-0.4125154912471771,0.820076584815979,0.184875950217247
27,Design 27,2.0,3.5253166956885886,8,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3527345061302185,-0.4345540404319763,0.8037596344947815,0.20177115499973297
28,Design 28,2.0,3.5268340499167943,8,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3503493666648865,-0.4314665198326111,0.8066141605377197,0.20116056501865387
29,Design 29,2.0,3.526951322509184,8,1,0.3382599854570275,0.39676747423066994,0.538816734003357,-0.3521333932876587,-0.4284248650074005,0.8084657788276672,0.19707202911376953
30,Design 30,2.0,3.5291049996384003,8,1,0.3382599854570275,0.39676747423066994,0.538816734003357,-0.34833529591560364,-0.4291372299194336,0.8096524477005005,0.19739970564842224
31,Design 31,2.0,3.5007799971323963,9,1,0.17333540310503331,0.39676747423066994,0.538816734003357,-0.3503791093826294,-0.4315107762813568,0.8065796494483948,0.20115195214748383
32,Design 32,2.0,3.5251753065630664,9,1,0.3382615423757251,0.41446074664672383,0.538816734003357,-0.35210368037223816,-0.42838039994239807,0.8085002303123474,0.19708043336868286
33,Design 33,2.0,3.5253166956885886,9,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3527345061302185,-0.4345540404319763,0.8037596344947815,0.20177115499973297
34,Design 34,2.0,3.5268340499167943,9,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3503493666648865,-0.4314665198326111,0.8066141605377197,0.20116056501865387
35,Design 35,2.0,3.5007799971323963,10,1,0.17333540310503331,0.39676747423066994,0.538816734003357,-0.3503791093826294,-0.4315107762813568,0.8065796494483948,0.20115195214748383
36,Design 36,2.0,3.501914510431577,10,1,0.3382615423757251,0.4125573746299758,0.538816734003357,-0.3430998921394348,-0.4195215702056885,0.7915281057357788,0.28243136405944824
37,Design 37,2.0,3.5251753065630664,10,1,0.3382615423757251,0.41446074664672383,0.538816734003357,-0.35210368037223816,-0.42838039994239807,0.8085002303123474,0.19708043336868286
38,Design 38,2.0,3.5253166956885886,10,1,0.3382312497492315,0.39676747423066994,0.538816734003357,-0.3527345061302185,-0.4345540404319763,0.8037596344947815,0.20177115499973297
39,Design 39,2.0,3.4947173166063488,11,1,0.32224343762620505,0.415321633868393,0.538816734003357,-0.38616204261779785,-0.4757418632507324,0.7587853074073792,0.22089236974716187
40,Design 40,2.0,3.5007799971323963,11,1,0.17333540310503331,0.39676747423066994,0.538816734003357,-0.3503791093826294,-0.4315107762813568,0.8065796494483948,0.20115195214748383
41,Design 41,2.0,3.501914510431577,11,1,0.3382615423757251,0.4125573746299758,0.538816734003357,-0.3430998921394348,-0.4195215702056885,0.7915281057357788,0.28243136405944824
42,Design 42,2.0,3.5251753065630664,11,1,0.3382615423757251,0.41446074664672383,0.538816734003357,-0.35210368037223816,-0.42838039994239807,0.8085002303123474,0.19708043336868286
