Generation,Cost,Perception Entropy,Coverage,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz
0,3.0,3.6622272910343274,,1,0.12,0.0,0.33299999999999996,1.0,0.0,0.0,0.0,2,0.247,0.0,0.218,1.0,0.0,0.0,0.0
1,3.0,10.121075079838434,0.29895287958115185,1,-0.025049437457406176,0.0139740242412085,0.27025995198980507,-0.5773127675056458,-0.20507265627384186,0.6363826990127563,-0.4686921238899231,2,0.10186945405567324,-0.10639719009665372,0.3620445363873352,-0.3018384575843811,0.8390385508537292,-0.027671797201037407,-0.4518210291862488
1,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,10.311458534278252,0.3287958115183246,1,-0.1622076731161987,-0.16594027803616235,0.2203871330220599,-0.4007661044597626,-0.4628591537475586,-0.7202935814857483,0.3260754644870758,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,13.545177942128094,0.20157068062827224,1,0,-0.1622076731161987,0.005482879670297161,0.2699677290489083,-0.5610175132751465,-0.4461970031261444,-0.6966339945793152,-0.02947111427783966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,10.761480797882433,0.2696335078534031,1,2,-0.025049437457406176,-0.15719391538709881,0.22067935678287023,-0.45105040073394775,-0.23411190509796143,0.721193790435791,-0.4707702100276947,0.10210717286942929,0.001336113824818158,0.18642104910914611,-0.28712761402130127,0.8556496500968933,-0.026323145255446434,-0.429800420999527
2,3.0,10.121075079838434,0.29895287958115185,1,-0.025049437457406176,0.0139740242412085,0.27025995198980507,-0.5773127675056458,-0.20507265627384186,0.6363826990127563,-0.4686921238899231,2,0.10186945405567324,-0.10639719009665372,0.3620445363873352,-0.3018384575843811,0.8390385508537292,-0.027671797201037407,-0.4518210291862488
3,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,13.545177942128094,0.20157068062827224,1,0,-0.1622076731161987,0.005482879670297161,0.2699677290489083,-0.5610175132751465,-0.4461970031261444,-0.6966339945793152,-0.02947111427783966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,10.761480797882433,0.2696335078534031,1,2,-0.025049437457406176,-0.15719391538709881,0.22067935678287023,-0.45105040073394775,-0.23411190509796143,0.721193790435791,-0.4707702100276947,0.10210717286942929,0.001336113824818158,0.18642104910914611,-0.28712761402130127,0.8556496500968933,-0.026323145255446434,-0.429800420999527
3,1.0,11.033520117346887,0.28272251308900526,1,0,-0.02642095502023893,-0.00030922057384037693,0.2733793938991208,-0.44028061628341675,-0.21627867221832275,0.7404114007949829,-0.4595295786857605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,13.545177942128094,0.20157068062827224,1,0,-0.1622076731161987,0.005482879670297161,0.2699677290489083,-0.5610175132751465,-0.4461970031261444,-0.6966339945793152,-0.02947111427783966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,13.530400347544088,0.20261780104712043,1,0,-0.1622076731161987,0.005482879670297161,0.25416590871429234,-0.5576702356338501,-0.44741448760032654,-0.6985347867012024,-0.02955152839422226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
