id,Name,Generation,Cost,Perception Entropy,Perception Coverage,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Design 0,0,3750.0,5.325691801594047,0.7887444497940406,1,0.12,0.0,0.33299999999999996,1.0,0.0,0.0,0.0,2,0.247,0.0,0.218,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,1,4500.0,10.818623507378055,0.3218851976675761,1,0.14890504320419118,0.08342229626622971,0.23836072776881673,0.019244540482759476,0.040613289922475815,0.9100843667984009,0.4119791090488434,2,-0.07688950851825546,0.04762919427484599,0.25548054142736243,0.12310074269771576,0.27630457282066345,-0.4375656247138977,0.8467811346054077,2,0.1604990183232065,-0.01938735647875539,0.3429709320659805,-0.4650379419326782,-0.3524903953075409,0.01242482103407383,-0.8119949698448181,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,1,7500.0,12.954476572049257,0.20307066816455357,2,0.09010593600083477,0.1778086888597724,0.2956352099377364,0.13383382558822632,0.549258828163147,0.789697527885437,-0.2382878065109253,1,0.041627410918429364,-0.13124595489401883,0.25756208330592234,0.28746646642684937,-0.7805878520011902,-0.2125302404165268,-0.5127148628234863,2,-0.17846383038959576,-0.12225773537292632,0.3355484876506453,0.35539624094963074,-0.714668333530426,-0.5711259245872498,-0.1917235404253006,1,-0.17662413643133293,-0.04804448499225203,0.3588902996767549,0.34852853417396545,0.615696132183075,-0.5917152762413025,-0.3864183723926544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,1,8250.0,10.788091694390335,0.37912587599636227,1,0.004437883529306269,0.029367866643944834,0.38437139064188713,-0.6460853219032288,-0.21842749416828156,0.7212295532226562,-0.12120690941810608,2,-0.10028126089742638,-0.09081615536555225,0.2388556658637285,-0.8678324818611145,-0.2792171537876129,0.16590851545333862,0.3760039806365967,2,0.1400758618511168,-0.015488882123150582,0.1978069367913651,0.42966994643211365,-0.39651766419410706,-0.4084834158420563,0.7009270787239075,2,0.03374714586850541,-0.10369434072827666,0.3461418980611881,0.8374642133712769,0.05034641921520233,0.10880306363105774,0.5331798791885376,1,-0.059174192136800224,-0.1700618356963787,0.3051075390020703,-0.8127437233924866,0.19220168888568878,-0.3331166207790375,-0.43765223026275635
4,Design 4,1,7500.0,7.1035825959063175,0.6427539720751083,1,0.18128978872972307,-0.04283419533760288,0.33639271125437475,0.5232627987861633,-0.16734591126441956,0.6417063474655151,0.5351676344871521,2,0.034902250450736416,0.014742649786387924,0.3783079133214966,0.37222445011138916,-0.9058544635772705,-0.163080632686615,0.11950452625751495,1,0.16374279225940458,-0.16836369601551335,0.3282984993554051,0.03471117839217186,-0.1700936108827591,-0.4485553503036499,0.8767334222793579,2,0.014600651887942656,0.16111761890223592,0.23070759597384377,0.5101975798606873,0.33682945370674133,-0.5263298749923706,-0.5909494757652283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,1,12750.0,6.130847232397879,0.758733215642219,1,-0.14203174383160996,0.04816323382029042,0.3470136965838937,0.1786912977695465,0.9061887264251709,-0.05317027121782303,0.37955811619758606,1,0.11659221829287852,0.09583609718727737,0.25491187307785007,-0.13219629228115082,0.9549169540405273,0.2641638517379761,0.02958737127482891,2,0.18217465253217818,-0.025643241000200684,0.35122302319160986,-0.6938790082931519,-0.11869329959154129,0.6543911099433899,-0.2760726809501648,1,0.08565830979468925,-0.12836770247871182,0.2020984290801357,-0.5446045994758606,0.22147345542907715,-0.8056490421295166,-0.07269832491874695,1,-0.1819336371182768,-0.15597900084983166,0.2781378118508325,-0.2774507999420166,-0.8285595774650574,0.4715820550918579,-0.11882951855659485
6,Design 6,1,9750.0,7.738312092722744,0.6011341143743647,1,-0.14012955398226018,-0.1699979944144788,0.3373933453872396,-0.14155317842960358,0.28526946902275085,-0.7856425642967224,0.5304242372512817,2,-0.01626578859731867,0.08889785841870906,0.27690201445843643,0.18028508126735687,0.05518005043268204,-0.18264445662498474,0.964931845664978,1,0.008038168680334884,-0.00789389758158085,0.2812218344215849,0.06322454661130905,0.19815824925899506,0.9177733063697815,-0.3382722735404968,1,0.16339187053023463,-0.0351386928512151,0.3673582811778707,0.18258848786354065,-0.681367814540863,-0.3510100841522217,0.6157851219177246,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Design 7,1,9750.0,9.20685319611946,0.48007275450703474,1,0.08214596944131763,-0.1762688659193165,0.29414650562441547,0.6838415265083313,-0.46993687748908997,-0.5063037872314453,-0.2348971962928772,1,-0.18867209908737761,0.16242976277647364,0.36750145584970173,-0.2925890386104584,0.13875015079975128,-0.6780894994735718,-0.6597989797592163,2,0.16022545445459851,0.14949875516932348,0.21553269534082553,-0.8299372792243958,0.2743489444255829,-0.40846988558769226,0.2628480792045593,1,-0.12059876925696536,-0.11245259775512376,0.31092022956913035,0.13437104225158691,0.35369643568992615,0.48309335112571716,0.7895974516868591,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Design 8,1,9000.0,9.091825485724797,0.5362970095757771,1,0.13199218002260993,0.1473455536359316,0.2665957955833703,0.6001253724098206,-0.21162205934524536,-0.1779889166355133,0.7505902051925659,1,-0.08006570070098383,-0.11756513851663578,0.21031245917589192,0.4586467742919922,-0.46802595257759094,-0.3287593126296997,-0.6800824999809265,1,0.16754865873444463,-0.12715474556979245,0.23928054565452625,0.8169555068016052,0.37159615755081177,0.01355006080120802,-0.44081342220306396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Design 9,1,10500.0,8.24254558816734,0.5741186540416199,1,0.21074004571648847,-0.0480396082135556,0.273139514563779,0.46997013688087463,0.09366399794816971,0.871437132358551,0.1046542227268219,2,0.03540878460247901,0.15799913185309677,0.19261085036337625,-0.6627202033996582,0.6283047199249268,0.3714686334133148,-0.1674698144197464,1,0.12542661199794325,0.140766823545242,0.19187849381263988,0.07072919607162476,0.31593817472457886,0.7009401321411133,0.6355025172233582,2,0.039702548791104714,-0.0626436677627909,0.3583189132822633,-0.7369524240493774,-0.44460687041282654,0.48989787697792053,-0.13865774869918823,1,0.055747282405907844,0.06848203253858923,0.27699174909945357,-0.6158379316329956,-0.4266747832298279,0.24383021891117096,-0.6158239841461182
10,Design 10,1,3000.0,15.616034565010196,0.0026213020916920774,2,0.08645597650939713,-0.0755651333925267,0.18829076470244926,0.7214120030403137,-0.3998919129371643,-0.5597850680351257,-0.07932163029909134,2,0.06377261139431994,-0.06788008291231339,0.28987456880937207,-0.064634308218956,-0.9087421298027039,-0.03834301605820656,-0.41053634881973267,2,0.21321857534371502,-0.02646907613949745,0.2359002564296232,0.3178437650203705,-0.5256051421165466,0.21622571349143982,0.7589209675788879,2,-0.026630745037216047,0.15547000198915462,0.3737947253709648,-0.5286710262298584,0.6467599868774414,0.5489997267723083,-0.028422918170690536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Design 11,1,4500.0,5.481040154375564,0.7782057454662173,1,-0.15150782779642002,-0.09816849493751205,0.2492963723319562,0.6548821330070496,0.0683206170797348,0.08534088730812073,-0.7477824687957764,2,-0.1131030144032229,0.038553898310085766,0.2691383321093784,-0.6169041991233826,0.7790592908859253,-0.09293574839830399,0.062119267880916595,2,0.1691946652039742,-0.11335305662314896,0.32679635506040816,-0.19084180891513824,-0.08888888359069824,-0.6091492772102356,0.764601469039917,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Design 12,1,3000.0,8.56833198243951,0.518375862622372,2,0.028790041078633755,0.006845754266524368,0.22136507913093062,-0.3246713876724243,0.07629850506782532,-0.4073476791381836,0.8501970171928406,2,0.06111497468035282,0.17883123307495558,0.3497880708674705,-0.20835036039352417,-0.5700144171714783,0.612968385219574,-0.505908727645874,2,0.0715239544856302,0.17135606459912578,0.36673356604301033,0.4095527231693268,0.7756224274635315,0.1423962563276291,-0.45869356393814087,2,0.07206749078516406,-0.16832652288679545,0.20513646827264226,0.980969250202179,0.10791398584842682,-0.05967496335506439,0.14997629821300507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Design 13,1,3750.0,12.584466586054898,0.20713636120472903,1,0.23915401507892609,-0.11952601444813862,0.38097856749567716,0.6502113938331604,-0.5501676201820374,0.3430309295654297,-0.39606884121894836,2,0.14768894229972573,0.1167256222648192,0.3129442124647456,0.2166121006011963,-0.9140399694442749,0.22841037809848785,-0.25581037998199463,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Design 14,1,4500.0,10.40302207540233,0.3803562831006259,2,-0.18520895712646926,0.09298017377171863,0.2504116167246818,0.22271718084812164,-0.8137661814689636,0.14221887290477753,-0.5176441669464111,2,0.2431287180851447,-0.10071567858270383,0.254162654205482,-0.4533541798591614,0.3740563988685608,0.4715026915073395,-0.6574473977088928,1,0.040514299693097944,0.0917609245417918,0.27919260588920525,-0.04929840937256813,-0.059804096817970276,0.9548841714859009,0.28668686747550964,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
